Conta:;11392 - 2.1.1.01.001 - A 2 F INDUSTRIA FARMACEUTICA LTDA;;;;;
14/05/2024;PAGAMENTO NOTA FISCAL Nº 317 ; ;0524-00006238;2.864,40;;605.195,20C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 318 ; ;0524-00006241;5.106,60;;600.088,60C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 320 ; ;0524-00006244;2.703,40;;597.385,20C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 321 ; ;0524-00006247;1.947,00;;595.438,20C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 322 ; ;0524-00006250;1.996,20;;593.442,00C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 323 ; ;0524-00006253;1.978,80;;591.463,20C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 324 ; ;0524-00006256;2.005,20;;589.458,00C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 325 ; ;0524-00006259;1.798,80;;587.659,20C
14/05/2024;PAGAMENTO NOTA FISCAL Nº 327 ; ;0524-00006262;5.106,60;;582.552,60C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 1 ; ;0524-00006265;4.842,00;;577.710,60C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 275 ; ;0524-00006268;1.145,76;;576.564,84C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 276 ; ;0524-00006271;908,40;;575.656,44C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 277 ; ;0524-00006274;908,40;;574.748,04C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 278 ; ;0524-00006277;2.864,40;;571.883,64C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 279 ; ;0524-00006280;3.404,40;;568.479,24C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 280 ; ;0524-00006283;3.100,00;;565.379,24C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 281 ; ;0524-00006286;4.842,00;;560.537,24C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 282 ; ;0524-00006289;1.718,64;;558.818,60C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 283 ; ;0524-00006292;3.100,00;;555.718,60C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 284 ; ;0524-00006295;5.106,60;;550.612,00C
15/05/2024;PAGAMENTO NOTA FISCAL Nº 285 ; ;0524-00006298;1.432,20;;549.179,80C
18/05/2024;NOTA FISCAL Nº 453 ;3152;0524-00000003;;14.322,00;563.501,80C
18/05/2024;NOTA FISCAL Nº 452 ;3152;0524-00000004;;25.533,00;589.034,80C
18/05/2024;NOTA FISCAL Nº 451 ;3152;0524-00000005;;8.994,00;598.028,80C
18/05/2024;NOTA FISCAL Nº 450 ;3152;0524-00000006;;10.026,00;608.054,80C
18/05/2024;NOTA FISCAL Nº 449 ;3152;0524-00000007;;9.894,00;617.948,80C
18/05/2024;NOTA FISCAL Nº 448 ;3152;0524-00000008;;25.533,00;643.481,80C
18/05/2024;NOTA FISCAL Nº 447 ;3152;0524-00000009;;24.210,00;667.691,80C
18/05/2024;NOTA FISCAL Nº 446 ;3152;0524-00000010;;9.981,00;677.672,80C
18/05/2024;NOTA FISCAL Nº 445 ;3152;0524-00000011;;9.735,00;687.407,80C
18/05/2024;NOTA FISCAL Nº 444 ;3152;0524-00000012;;13.517,00;700.924,80C
18/05/2024;NOTA FISCAL Nº 443 ;3152;0524-00000013;;23.250,00;724.174,80C
18/05/2024;NOTA FISCAL Nº 442 ;3152;0524-00000014;;14.322,00;738.496,80C
18/05/2024;NOTA FISCAL Nº 440 ;3152;0524-00000015;;11.355,00;749.851,80C
18/05/2024;NOTA FISCAL Nº 439 ;3152;0524-00000016;;11.355,00;761.206,80C
18/05/2024;NOTA FISCAL Nº 438 ;3152;0524-00000017;;14.322,00;775.528,80C
18/05/2024;NOTA FISCAL Nº 437 ;3152;0524-00000018;;24.210,00;799.738,80C
21/05/2024;NOTA FISCAL Nº 436 ;5782;0524-00000575;;17.022,00;816.760,80C
21/05/2024;NOTA FISCAL Nº 435 ;5782;0524-00000576;;24.210,00;840.970,80C
21/05/2024;NOTA FISCAL Nº 434 ;5782;0524-00000577;;23.250,00;864.220,80C
21/05/2024;NOTA FISCAL Nº 433 ;5782;0524-00000578;;20.052,00;884.272,80C
21/05/2024;NOTA FISCAL Nº 432 ;5782;0524-00000579;;21.277,50;905.550,30C
21/05/2024;NOTA FISCAL Nº 431 ;5782;0524-00000580;;17.988,00;923.538,30C
21/05/2024;NOTA FISCAL Nº 430 ;5782;0524-00000581;;21.483,00;945.021,30C
21/05/2024;NOTA FISCAL Nº 429 ;5782;0524-00000582;;13.517,00;958.538,30C
21/05/2024;NOTA FISCAL Nº 428 ;5782;0524-00000583;;17.902,50;976.440,80C
21/05/2024;NOTA FISCAL Nº 427 ;5782;0524-00000584;;24.210,00;1.000.650,80C
21/05/2024;NOTA FISCAL Nº 426 ;5782;0524-00000585;;17.032,50;1.017.683,30C
21/05/2024;NOTA FISCAL Nº 425 ;5782;0524-00000586;;11.355,00;1.029.038,30C
21/05/2024;NOTA FISCAL Nº 424 ;5782;0524-00000587;;21.483,00;1.050.521,30C
21/05/2024;NOTA FISCAL Nº 423 ;5782;0524-00000588;;24.210,00;1.074.731,30C
21/05/2024;NOTA FISCAL Nº 422 ;5782;0524-00000589;;23.250,00;1.097.981,30C
21/05/2024;NOTA FISCAL Nº 421 ;5782;0524-00000590;;21.277,50;1.119.258,80C
21/05/2024;NOTA FISCAL Nº 420 ;5782;0524-00000591;;20.052,00;1.139.310,80C
21/05/2024;NOTA FISCAL Nº 419 ;5782;0524-00000592;;19.788,00;1.159.098,80C
21/05/2024;NOTA FISCAL Nº 418 ;5782;0524-00000593;;17.988,00;1.177.086,80C
21/05/2024;NOTA FISCAL Nº 417 ;5782;0524-00000594;;29.205,00;1.206.291,80C
21/05/2024;NOTA FISCAL Nº 416 ;5782;0524-00000595;;19.962,00;1.226.253,80C
21/05/2024;NOTA FISCAL Nº 415 ;5782;0524-00000596;;13.517,00;1.239.770,80C
21/05/2024;NOTA FISCAL Nº 414 ;5782;0524-00000597;;21.483,00;1.261.253,80C
21/05/2024;NOTA FISCAL Nº 413 ;5782;0524-00000598;;17.902,50;1.279.156,30C
21/05/2024;NOTA FISCAL Nº 412 ;5782;0524-00000599;;17.032,50;1.296.188,80C
21/05/2024;NOTA FISCAL Nº 411 ;5782;0524-00000600;;11.355,00;1.307.543,80C
21/05/2024;NOTA FISCAL Nº 410 ;5782;0524-00000601;;21.483,00;1.329.026,80C
21/05/2024;NOTA FISCAL Nº 409 ;5782;0524-00000602;;24.210,00;1.353.236,80C
26/05/2024;PAGAMENTO NOTA FISCAL Nº 319 ; ;0524-00006301;2.864,40;;1.350.372,40C
26/05/2024;PAGAMENTO NOTA FISCAL Nº 326 ; ;0524-00006304;4.842,00;;1.345.530,40C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 1 ; ;0524-00006307;4.842,00;;1.340.688,40C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 275 ; ;0524-00006310;1.145,76;;1.339.542,64C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 276 ; ;0524-00006313;908,4;;1.338.634,24C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 277 ; ;0524-00006316;908,4;;1.337.725,84C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 278 ; ;0524-00006319;2.864,40;;1.334.861,44C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 279 ; ;0524-00006322;3.404,40;;1.331.457,04C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 280 ; ;0524-00006325;3.100,00;;1.328.357,04C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 281 ; ;0524-00006328;4.842,00;;1.323.515,04C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 282 ; ;0524-00006331;1.718,64;;1.321.796,40C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 283 ; ;0524-00006334;3.100,00;;1.318.696,40C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 284 ; ;0524-00006337;5.106,60;;1.313.589,80C
27/05/2024;PAGAMENTO NOTA FISCAL Nº 285 ; ;0524-00006340;1.432,20;;1.312.157,60C
28/05/2024;NOTA FISCAL Nº 469 ;3152;0524-00000019;;16.140,00;1.328.297,60C
28/05/2024;NOTA FISCAL Nº 470 ;3152;0524-00000020;;11.625,00;1.339.922,60C
28/05/2024;NOTA FISCAL Nº 468 ;3152;0524-00000021;;17.186,40;1.357.109,00C
28/05/2024;NOTA FISCAL Nº 467 ;3152;0524-00000022;;17.022,00;1.374.131,00C
28/05/2024;NOTA FISCAL Nº 466 ;3152;0524-00000023;;11.625,00;1.385.756,00C
28/05/2024;NOTA FISCAL Nº 465 ;3152;0524-00000024;;14.322,00;1.400.078,00C
28/05/2024;NOTA FISCAL Nº 464 ;3152;0524-00000025;;16.140,00;1.416.218,00C
28/05/2024;NOTA FISCAL Nº 462 ;5782;0524-00000603;;11.625,00;1.427.843,00C
28/05/2024;NOTA FISCAL Nº 461 ;5782;0524-00000604;;10.741,50;1.438.584,50C
28/05/2024;NOTA FISCAL Nº 460 ;5782;0524-00000605;;16.140,00;1.454.724,50C
28/05/2024;NOTA FISCAL Nº 459 ;5782;0524-00000606;;11.625,00;1.466.349,50C
28/05/2024;NOTA FISCAL Nº 458 ;5782;0524-00000607;;10.741,50;1.477.091,00C
28/05/2024;NOTA FISCAL Nº 457 ;5782;0524-00000608;;11.355,00;1.488.446,00C
28/05/2024;NOTA FISCAL Nº 456 ;5782;0524-00000609;;14.322,00;1.502.768,00C
28/05/2024;NOTA FISCAL Nº 455 ;5782;0524-00000610;;16.140,00;1.518.908,00C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 286 ; ;0524-00006343;6.456,00;;1.512.452,00C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 287 ; ;0524-00006346;4.296,60;;1.508.155,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 288 ; ;0524-00006349;2.271,00;;1.505.884,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 289 ; ;0524-00006352;3.406,50;;1.502.477,90C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 290 ; ;0524-00006355;3.580,50;;1.498.897,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 291 ; ;0524-00006358;4.296,60;;1.494.600,80C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 292 ; ;0524-00006361;2.703,40;;1.491.897,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 293 ; ;0524-00006364;5.841,00;;1.486.056,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 294 ; ;0524-00006367;3.992,40;;1.482.064,00C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 295 ; ;0524-00006370;3.597,60;;1.478.466,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 296 ; ;0524-00006373;3.957,60;;1.474.508,80C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 297 ; ;0524-00006376;4.010,40;;1.470.498,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 298 ; ;0524-00006379;5.957,70;;1.464.540,70C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 299 ; ;0524-00006382;4.650,00;;1.459.890,70C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 300 ; ;0524-00006385;6.456,00;;1.453.434,70C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 301 ; ;0524-00006388;4.296,60;;1.449.138,10C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 302 ; ;0524-00006391;2.271,00;;1.446.867,10C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 303 ; ;0524-00006394;3.406,50;;1.443.460,60C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 304 ; ;0524-00006397;3.580,50;;1.439.880,10C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 305 ; ;0524-00006400;4.296,60;;1.435.583,50C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 306 ; ;0524-00006403;2.703,40;;1.432.880,10C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 307 ; ;0524-00006406;3.597,60;;1.429.282,50C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 308 ; ;0524-00006409;4.010,40;;1.425.272,10C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 309 ; ;0524-00006412;5.957,70;;1.419.314,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 310 ; ;0524-00006415;4.650,00;;1.414.664,40C
30/05/2024;PAGAMENTO NOTA FISCAL Nº 311 ; ;0524-00006418;6.456,00;;1.408.208,40C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 437 ; ;0624-00006031;4.842,00;;1.403.366,40C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 438 ; ;0624-00006034;2.864,40;;1.400.502,00C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 439 ; ;0624-00006037;2.271,00;;1.398.231,00C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 440 ; ;0624-00006040;2.271,00;;1.395.960,00C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 442 ; ;0624-00006043;2.864,40;;1.393.095,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 443 ; ;0624-00006046;4.650,00;;1.388.445,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 444 ; ;0624-00006049;2.703,40;;1.385.742,20C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 445 ; ;0624-00006052;1.947,00;;1.383.795,20C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 446 ; ;0624-00006055;1.996,20;;1.381.799,00C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 447 ; ;0624-00006058;4.842,00;;1.376.957,00C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 448 ; ;0624-00006061;5.106,60;;1.371.850,40C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 449 ; ;0624-00006064;1.978,80;;1.369.871,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 450 ; ;0624-00006067;2.005,20;;1.367.866,40C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 451 ; ;0624-00006070;1.798,80;;1.366.067,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 452 ; ;0624-00006073;5.106,60;;1.360.961,00C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 453 ; ;0624-00006076;2.864,40;;1.358.096,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 312 ; ;0624-00006079;4.842,00;;1.353.254,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 313 ; ;0624-00006082;2.864,40;;1.350.390,20C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 314 ; ;0624-00006085;2.271,00;;1.348.119,20C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 315 ; ;0624-00006088;2.271,00;;1.345.848,20C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 316 ; ;0624-00006091;4.650,00;;1.341.198,20C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 317 ; ;0624-00006094;2.864,40;;1.338.333,80C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 318 ; ;0624-00006097;5.106,60;;1.333.227,20C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 320 ; ;0624-00006100;2.703,40;;1.330.523,80C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 321 ; ;0624-00006103;1.947,00;;1.328.576,80C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 322 ; ;0624-00006106;1.996,20;;1.326.580,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 323 ; ;0624-00006109;1.978,80;;1.324.601,80C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 324 ; ;0624-00006112;2.005,20;;1.322.596,60C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 325 ; ;0624-00006115;1.798,80;;1.320.797,80C
02/06/2024;PAGAMENTO NOTA FISCAL Nº 327 ; ;0624-00006118;5.106,60;;1.315.691,20C
04/06/2024;NOTA FISCAL Nº 496 ;5782;0624-00000462;;14.322,00;1.330.013,20C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 409 ; ;0624-00006121;4.842,00;;1.325.171,20C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 410 ; ;0624-00006124;4.296,60;;1.320.874,60C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 411 ; ;0624-00006127;2.271,00;;1.318.603,60C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 412 ; ;0624-00006130;3.406,50;;1.315.197,10C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 413 ; ;0624-00006133;3.580,50;;1.311.616,60C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 414 ; ;0624-00006136;4.296,60;;1.307.320,00C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 415 ; ;0624-00006139;2.703,40;;1.304.616,60C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 416 ; ;0624-00006142;3.992,40;;1.300.624,20C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 417 ; ;0624-00006145;5.841,00;;1.294.783,20C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 418 ; ;0624-00006148;3.597,60;;1.291.185,60C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 419 ; ;0624-00006151;3.957,60;;1.287.228,00C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 420 ; ;0624-00006154;4.010,40;;1.283.217,60C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 421 ; ;0624-00006157;4.255,50;;1.278.962,10C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 422 ; ;0624-00006160;4.650,00;;1.274.312,10C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 423 ; ;0624-00006163;4.842,00;;1.269.470,10C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 424 ; ;0624-00006166;4.296,60;;1.265.173,50C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 425 ; ;0624-00006169;2.271,00;;1.262.902,50C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 426 ; ;0624-00006172;3.406,50;;1.259.496,00C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 427 ; ;0624-00006175;4.842,00;;1.254.654,00C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 428 ; ;0624-00006178;3.580,50;;1.251.073,50C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 429 ; ;0624-00006181;2.703,40;;1.248.370,10C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 430 ; ;0624-00006184;4.296,60;;1.244.073,50C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 431 ; ;0624-00006187;3.597,60;;1.240.475,90C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 432 ; ;0624-00006190;4.255,50;;1.236.220,40C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 433 ; ;0624-00006193;4.010,40;;1.232.210,00C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 434 ; ;0624-00006196;4.650,00;;1.227.560,00C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 435 ; ;0624-00006199;4.842,00;;1.222.718,00C
05/06/2024;PAGAMENTO NOTA FISCAL Nº 436 ; ;0624-00006202;3.404,40;;1.219.313,60C
07/06/2024;PAGAMENTO NOTA FISCAL Nº 319 ; ;0624-00006205;2.864,40;;1.216.449,20C
07/06/2024;PAGAMENTO NOTA FISCAL Nº 326 ; ;0624-00006208;4.842,00;;1.211.607,20C
08/06/2024;NOTA FISCAL Nº 518 ;3152;0624-00000006;;25.533,00;1.237.140,20C
08/06/2024;NOTA FISCAL Nº 517 ;3152;0624-00000007;;15.500,00;1.252.640,20C
08/06/2024;NOTA FISCAL Nº 516 ;3152;0624-00000008;;14.322,00;1.266.962,20C
08/06/2024;NOTA FISCAL Nº 515 ;3152;0624-00000009;;24.210,00;1.291.172,20C
08/06/2024;NOTA FISCAL Nº 514 ;3152;0624-00000010;;8.994,00;1.300.166,20C
08/06/2024;NOTA FISCAL Nº 513 ;3152;0624-00000011;;10.026,00;1.310.192,20C
08/06/2024;NOTA FISCAL Nº 512 ;3152;0624-00000012;;9.894,00;1.320.086,20C
08/06/2024;NOTA FISCAL Nº 511 ;3152;0624-00000013;;9.981,00;1.330.067,20C
08/06/2024;NOTA FISCAL Nº 510 ;3152;0624-00000014;;9.735,00;1.339.802,20C
08/06/2024;NOTA FISCAL Nº 509 ;3152;0624-00000015;;13.517,00;1.353.319,20C
08/06/2024;NOTA FISCAL Nº 508 ;3152;0624-00000016;;14.322,00;1.367.641,20C
08/06/2024;NOTA FISCAL Nº 507 ;3152;0624-00000017;;25.533,00;1.393.174,20C
08/06/2024;NOTA FISCAL Nº 506 ;3152;0624-00000018;;15.500,00;1.408.674,20C
08/06/2024;NOTA FISCAL Nº 505 ;3152;0624-00000019;;14.322,00;1.422.996,20C
08/06/2024;NOTA FISCAL Nº 504 ;3152;0624-00000020;;17.032,50;1.440.028,70C
08/06/2024;NOTA FISCAL Nº 503 ;3152;0624-00000021;;17.032,50;1.457.061,20C
08/06/2024;NOTA FISCAL Nº 502 ;3152;0624-00000022;;21.483,00;1.478.544,20C
08/06/2024;NOTA FISCAL Nº 501 ;3152;0624-00000023;;24.210,00;1.502.754,20C
08/06/2024;NOTA FISCAL Nº 478 ;5782;0624-00000447;;19.470,00;1.522.224,20C
08/06/2024;NOTA FISCAL Nº 485 ;5782;0624-00000449;;24.210,00;1.546.434,20C
08/06/2024;NOTA FISCAL Nº 498 ;5782;0624-00000450;;13.517,00;1.559.951,20C
08/06/2024;NOTA FISCAL Nº 491 ;5782;0624-00000452;;13.517,00;1.573.468,20C
08/06/2024;NOTA FISCAL Nº 486 ;5782;0624-00000453;;21.483,00;1.594.951,20C
08/06/2024;NOTA FISCAL Nº 475 ;5782;0624-00000454;;14.322,00;1.609.273,20C
08/06/2024;NOTA FISCAL Nº 473 ;5782;0624-00000455;;11.355,00;1.620.628,20C
08/06/2024;NOTA FISCAL Nº 480 ;5782;0624-00000457;;17.988,00;1.638.616,20C
08/06/2024;NOTA FISCAL Nº 487 ;5782;0624-00000458;;11.355,00;1.649.971,20C
08/06/2024;NOTA FISCAL Nº 479 ;5782;0624-00000459;;19.962,00;1.669.933,20C
08/06/2024;NOTA FISCAL Nº 477 ;5782;0624-00000460;;13.517,00;1.683.450,20C
08/06/2024;NOTA FISCAL Nº 497 ;5782;0624-00000461;;21.483,00;1.704.933,20C
08/06/2024;NOTA FISCAL Nº 500 ;5782;0624-00000463;;15.500,00;1.720.433,20C
08/06/2024;NOTA FISCAL Nº 481 ;5782;0624-00000464;;19.788,00;1.740.221,20C
08/06/2024;NOTA FISCAL Nº 471 ;5782;0624-00000465;;24.210,00;1.764.431,20C
08/06/2024;NOTA FISCAL Nº 472 ;5782;0624-00000466;;21.483,00;1.785.914,20C
08/06/2024;NOTA FISCAL Nº 483 ;5782;0624-00000467;;25.533,00;1.811.447,20C
08/06/2024;NOTA FISCAL Nº 488 ;5782;0624-00000469;;11.355,00;1.822.802,20C
08/06/2024;NOTA FISCAL Nº 489 ;5782;0624-00000470;;14.322,00;1.837.124,20C
08/06/2024;NOTA FISCAL Nº 495 ;5782;0624-00000471;;14.322,00;1.851.446,20C
08/06/2024;NOTA FISCAL Nº 494 ;5782;0624-00000472;;32.280,00;1.883.726,20C
08/06/2024;NOTA FISCAL Nº 492 ;5782;0624-00000473;;25.533,00;1.909.259,20C
08/06/2024;NOTA FISCAL Nº 493 ;5782;0624-00000475;;23.250,00;1.932.509,20C
08/06/2024;NOTA FISCAL Nº 484 ;5782;0624-00000476;;23.250,00;1.955.759,20C
08/06/2024;NOTA FISCAL Nº 474 ;5782;0624-00000477;;11.355,00;1.967.114,20C
08/06/2024;NOTA FISCAL Nº 490 ;5782;0624-00000478;;14.322,00;1.981.436,20C
08/06/2024;NOTA FISCAL Nº 476 ;5782;0624-00000479;;14.322,00;1.995.758,20C
08/06/2024;NOTA FISCAL Nº 499 ;5782;0624-00000480;;34.044,00;2.029.802,20C
08/06/2024;NOTA FISCAL Nº 482 ;5782;0624-00000481;;20.052,00;2.049.854,20C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 286 ; ;0624-00006211;6.456,00;;2.043.398,20C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 287 ; ;0624-00006214;4.296,60;;2.039.101,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 288 ; ;0624-00006217;2.271,00;;2.036.830,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 289 ; ;0624-00006220;3.406,50;;2.033.424,10C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 290 ; ;0624-00006223;3.580,50;;2.029.843,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 291 ; ;0624-00006226;4.296,60;;2.025.547,00C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 292 ; ;0624-00006229;2.703,40;;2.022.843,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 293 ; ;0624-00006232;5.841,00;;2.017.002,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 294 ; ;0624-00006235;3.992,40;;2.013.010,20C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 295 ; ;0624-00006238;3.597,60;;2.009.412,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 296 ; ;0624-00006241;3.957,60;;2.005.455,00C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 297 ; ;0624-00006244;4.010,40;;2.001.444,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 298 ; ;0624-00006247;5.957,70;;1.995.486,90C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 299 ; ;0624-00006250;4.650,00;;1.990.836,90C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 300 ; ;0624-00006253;6.456,00;;1.984.380,90C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 301 ; ;0624-00006256;4.296,60;;1.980.084,30C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 302 ; ;0624-00006259;2.271,00;;1.977.813,30C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 303 ; ;0624-00006262;3.406,50;;1.974.406,80C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 304 ; ;0624-00006265;3.580,50;;1.970.826,30C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 305 ; ;0624-00006268;4.296,60;;1.966.529,70C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 306 ; ;0624-00006271;2.703,40;;1.963.826,30C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 307 ; ;0624-00006274;3.597,60;;1.960.228,70C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 308 ; ;0624-00006277;4.010,40;;1.956.218,30C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 309 ; ;0624-00006280;5.957,70;;1.950.260,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 310 ; ;0624-00006283;4.650,00;;1.945.610,60C
11/06/2024;PAGAMENTO NOTA FISCAL Nº 311 ; ;0624-00006286;6.456,00;;1.939.154,60C
12/06/2024;PAGAMENTO NOTA FISCAL Nº 455 ; ;0624-00006289;3.228,00;;1.935.926,60C
12/06/2024;PAGAMENTO NOTA FISCAL Nº 456 ; ;0624-00006292;2.864,40;;1.933.062,20C
12/06/2024;PAGAMENTO NOTA FISCAL Nº 457 ; ;0624-00006295;2.271,00;;1.930.791,20C
12/06/2024;PAGAMENTO NOTA FISCAL Nº 458 ; ;0624-00006298;2.148,30;;1.928.642,90C
12/06/2024;PAGAMENTO NOTA FISCAL Nº 459 ; ;0624-00006301;2.325,00;;1.926.317,90C
